hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-07 02:00:00,262.0,6,2,Sunday,True,1118.625,2547.839285714286,353.75,-2180.8776881720432,-91.75,-0.23407776999830424
2024-01-07 03:00:00,187.0,6,3,Sunday,True,1068.9166666666667,2546.184523809524,236.5,-2298.1276881720432,-49.5,-0.16082009753587198
2024-01-07 04:00:00,123.0,6,4,Sunday,True,1098.0,2546.315476190476,150.75,-2383.8776881720432,-27.75,-0.12310756792503408
2024-01-07 05:00:00,78.0,6,5,Sunday,True,1167.375,2547.3928571428573,126.0,-2408.6276881720432,-48.0,-0.15821923342477973
2024-01-07 06:00:00,260.0,6,6,Sunday,True,1236.4583333333333,2551.4821428571427,289.0,-2245.6276881720432,-29.0,-0.12527495468427763
2024-01-07 07:00:00,259.0,6,7,Sunday,True,1305.3333333333333,2557.0238095238096,481.5,-2053.1276881720432,-222.5,-0.46078642501518036
2024-01-07 08:00:00,735.0,6,8,Sunday,True,1368.6666666666667,2559.375,868.75,-1665.8776881720432,-133.75,-0.3069019651088878
2024-01-07 09:00:00,1229.0,6,9,Sunday,True,1411.875,2563.3571428571427,1528.5,-1006.1276881720432,-299.5,-0.5942974493845835
2024-01-07 10:00:00,1633.0,6,10,Sunday,True,1452.9166666666667,2566.940476190476,2310.75,-223.87768817204324,-677.75,-1.2501486827316841
2024-01-07 11:00:00,1402.0,6,11,Sunday,True,1479.5416666666667,2568.6785714285716,2651.5,116.87231182795676,-1249.5,-2.2415113864096874
2024-01-07 12:00:00,1877.0,6,12,Sunday,True,1485.375,2569.25,2852.5,317.87231182795676,-975.5,-1.7664202087834995
2024-01-07 13:00:00,2835.0,6,13,Sunday,True,1484.7916666666667,2569.5059523809523,2936.75,402.12231182795676,-101.75,-0.2514168640722527
2024-01-07 14:00:00,3540.0,6,14,Sunday,True,1482.6666666666667,2569.75,3186.0,651.3723118279568,354.0,0.5388123483479484
2024-01-07 15:00:00,3835.0,6,15,Sunday,True,1478.7916666666667,2569.9464285714284,3276.5,741.8723118279568,558.5,0.8933968221601944
2024-01-07 16:00:00,3619.0,6,16,Sunday,True,1476.7083333333333,2570.1369047619046,3166.5,631.8723118279568,452.5,0.7096024249763409
2024-01-07 17:00:00,2946.0,6,17,Sunday,True,1480.125,2570.059523809524,2579.5,44.872311827956764,366.5,0.5604862159403841
2024-01-07 18:00:00,2663.0,6,18,Sunday,True,1507.9583333333333,2570.7440476190477,2410.0,-124.62768817204324,253.0,0.363687498201069
2024-01-07 19:00:00,2296.0,6,19,Sunday,True,1585.7916666666667,2571.9761904761904,1965.5,-569.1276881720432,330.5,0.49806547727416955
